ID,Name,Price,URL
,Nike Shox NZ,Rp 1.999.000,https://www.nike.com/id/t/shox-nz-shoe-9ZCMMw/378341-402
,Air Jordan 1 Low,Rp 1.729.000,https://www.nike.com/id/t/air-jordan-1-low-shoes-6Q1tFM/553558-045
,Air Jordan 1 Low SE,Rp 2.199.000,https://www.nike.com/id/t/air-jordan-1-low-se-shoes-0Ge6tI6L/IQ3460-010
,Sabrina 3 EP,Rp 2.099.000,https://www.nike.com/id/t/sabrina-3-ep-basketball-shoes-VV5CMzM9/IQ9033-001
,Air Jordan 1 Low G Spiked,Rp 2.669.000,https://www.nike.com/id/t/air-jordan-1-low-g-spiked-golf-shoes-qGBZQ0b9/IQ3417-001
,Air Jordan 1 Low,Rp 1.729.000,https://www.nike.com/id/t/air-jordan-1-low-shoes-6Q1tFM/553558-400
,Nike P-6000 Premium CORDURA®,Rp 1.729.000,https://www.nike.com/id/t/p-6000-cordura-shoes-UzMZvme6/IH0946-100
,Air Jordan 1 Low G,Rp 2.149.000,https://www.nike.com/id/t/air-jordan-1-low-g-golf-shoes-8bKbqs/DD9315-117
,Nike G.T. Cut 4 EP,Rp 3.269.000,https://www.nike.com/id/t/gt-cut-4-ep-basketball-shoes-CbHIE0Sv/IB6728-100
,Nike Air Force 1 '07,Rp 1.729.000,https://www.nike.com/id/t/air-force-1-07-shoes-0XGfD7/FJ4146-124
,Nike Air Max Dn8 Leather,Rp 3.269.000,https://www.nike.com/id/t/air-max-dn8-leather-shoes-bYfKK6Qb/IB6381-001
,Sabrina 3 EP,Rp 2.099.000,https://www.nike.com/id/t/sabrina-3-ep-basketball-shoes-G2lc4oD7/HF2882-003
,Nike Air Max TL 2.5,Rp 2.849.000,https://www.nike.com/id/t/air-max-tl-2-5-shoes-7PdW4h/FZ4110-012
,Nike Cortez Leather,Rp 1.299.000,https://www.nike.com/id/t/cortez-leather-shoes-0VH7qz/DM4044-202
,Air Force 1 '07 LV8,Rp 1.909.000,https://www.nike.com/id/t/air-force-1-07-lv8-shoes-15eWxtlx/IU2363-100
,Nike Pegasus Premium,Rp 3.369.000,https://www.nike.com/id/t/pegasus-road-running-shoes-MI38II2H/IQ3435-045
,Nike Air Force 1 Retro 'Valentine's Day',Rp 2.099.000,https://www.nike.com/id/t/air-force-1-retro-valentines-day-shoes-mo4gL7Bq/IB6836-001
,Nike Astrograbber SE,Rp 2.099.000,https://www.nike.com/id/t/astrograbber-se-shoes-L16xsOqb/IQ3411-010
,Nike C1TY Premium CORDURA®,Rp 1.729.000,https://www.nike.com/id/t/c1ty-cordura-shoes-ODxpBEIQ/IM4692-200
,Nike Cortez Leather,Rp 1.299.000,https://www.nike.com/id/t/cortez-leather-shoes-0VH7qz/DM4044-201
,Nike Air Max Dn8 Leather,Rp 3.269.000,https://www.nike.com/id/t/air-max-dn8-leather-shoes-bYfKK6Qb/IB6381-200
,Nike Air Max Dn8 Leather,Rp 3.269.000,https://www.nike.com/id/t/air-max-dn8-leather-shoes-bYfKK6Qb/IB6381-002
,Nike Vomero 18,Rp 2.449.000,https://www.nike.com/id/t/vomero-18-realtree-road-running-shoes-RjodRKkf/IF4456-001
,Nike Pegasus Premium,Rp 3.369.000,https://www.nike.com/id/t/pegasus-road-running-shoes-kxz5Tc9U/IQ0307-094
